,cnpj,collected
Prizpar Participacoes S.A.,23.807.152/0001-04,
Sultaso Participacoes Ltda.,19.313.266/0001-12,
MFM Participacoes S.A.,04.168.782/0001-23,
Zejuanna Empreendimentos e Administracao S.A.,20.957.265/0001-90,
Companhia de Desenvolvimento dos Vales do Sao Francisco e do Parnaiba - CODEVASF,00.399.857/0001-26,
Empresa Brasileira de Servicos Hospitalares,15.126.437/0001-43,
Empresa de Planejamento e Logistica S.A. - EPL,15.763.423/0001-30,
Empresa de Pesquisa Energetica - EPE,06.977.747/0001-80,
Majic Participacoes S.A.,21.489.413/0001-51,
JRAB Participacoes Ltda.,23.712.886/0001-00,
Salton Participacoes S.A.,25.003.373/0001-47,
Roma Participacoes em Sociedades S.A.,15.440.041/0001-76,
Vega JJP Participacao S.A.,14.063.367/0001-69,
Maverick Empreendimentos e Participacoes S.A.,23.633.769/0001-42,
Aquarius Participacoes S.A.,23.521.837/0001-81,
Cobrazil Engenharia e Construcoes S.A.,33.036.195/0001-89,
Sei Incorporacao e Participacoes S.A.,09.033.729/0001-39,
Venture Capital Participacoes e Investimentos S.A.,24.241.659/0001-06,
Malui Ilha do Sol Empreendimentos Imobiliarios SPE S.A.,12.827.269/0001-25,
Balneario Thermas de Ouro S.A.,08.464.785/0001-65,
Ygeia Saude Participacoes S.A.,17.705.331/0001-20,
Paschoalotto Servicos Financeiros S.A.,05.500.934/0001-06,
Echo Holding 1 S.A.,21.916.873/0001-19,
Green Stone Participacoes e Investimentos S.A.,18.035.988/0001-90,
Marcpar Administracao e Participacoes S.A.,11.309.955/0001-41,
Nhpilon Participacoes S.A.,12.558.943/0001-13,
Papilon Participacoes S.A.,11.381.358/0001-28,
Santorini Participacoes S.A.,28.097.973/0001-00,
JGPilon Participacoes S.A.,15.519.577/0001-81,
Minguts Participacoes S.A.,15.582.895/0001-97,
IRB USO Empreendimentos Imobiliarios SPE S.A.,25.173.792/0001-27,
IRB Chile Empreendimentos Imobiliarios SPE S.A.,24.207.249/0001-30,
IRB Renda Empreendimentos Imobiliarios SPE S.A.,24.207.296/0001-84,
Entrevias Concessionaria de Rodovias S.A.,26.664.057/0001-89,
Aura Participacoes S.A.,15.522.280/0001-75,
Juno Participacoes e Investimentos S.A. ,18.252.691/0001-86,
Glpilon Participacoes S.A.,10.783.175/0001-76,
Nirceu Pilon Participacoes S.A.,10.845.362/0001-37,
Vieira da Cruz e Pilon Participacoes S.A.,15.519.620/0001-09,
Sintra Investimentos e Participacoes S.A.,25.510.815/0001-41,
Sisfar Participacoes S.A.,27.138.702/0001-92,
Wake UP Investimentos S.A.,26.592.554/0001-19,
ISA Investimentos e Participacoes do Brasil S.A.,26.896.959/0001-40,
JTO Holding S.A.,21.749.716/0001-66,
OSI Brasil Participacoes Ltda.,18.344.914/0001-35,
AE Consultoria Administrativa S.A.,19.190.741/0001-00,
Concessionaria do Aeroporto Internacional de Florianopolis S.A.,27.844.178/0001-75,
Belarina Alimentos S.A.,02.025.334/0005-79,
Patessio Participacoes Ltda.,24.230.692/0001-22,
Valdelu Participacoes S.A.,27.490.623/0001-46,
Cambuhy Alpa Holding S.A.,04.723.665/0001-84,
Titaniumpar Participacoes S.A.,23.807.162/0001-31,
Rinoca Participacoes S.A.,25.074.621/0001-40,
Acquanegra Participacoes Ltda.,03.438.498/0001-67,
OEC S.A.,29.229.029/0001-21,
Zelanis Participacoes Ltda.,11.834.283/0001-93,
Vida Longa Participacoes S.A.,28.100.712/0001-00,
Payment Brasil Holdings Ltda.,04.516.491/0001-89,
Camargo Correa Infra Participacoes S.A.,28.352.225/0001-26,
NEOBPO Servicos de Processos de Negocios e Tecnologia S.A. ,24.765.823/0001-76,
Express Transportes Urbanos Ltda.,18.843.495/0001-86,
Marquise Servicos Ambientais S.A.,21.635.363/0001-73,
Segurpro Vigilancia Patrimonial S.A.,25.278.459/0001-82,
Nextel Telecomunicacoes Ltda. ,66.970.229/0001-67,
Viacao Santa Brigida Ltda.,61.274.809/0001-04,
MTC Realty Participacoes S.A,28.352.226/0001-70,
JR Participacoes e Investimentos S.A.,05.410.789/0001-72,
Elevacoes Portuarias S.A.,25.278.404/0001-72,
Tibagi Participacoes e Investimentos S.A.,27.524.524/0001-38,
XPCE Maria Monteiro Participacoes S.A.,27.511.631/0001-21,
A.Y.U.S.P.E. Empreendimentos e Participacoes S.A.,19.760.405/0001-56,
Prosegur Holding SIS Ltda.,27.231.156/0001-30,
Marimex Despachos Transportes e Servicos Ltda.,45.050.663/0001-59,
Infraestrutura Investimentos e Participacoes II S.A.,27.059.465/0001-74,
GL do Brasil Participacoes e Consultoria S.A.,12.372.478/0001-21,
Centro Saneamento e Servicos Avancados S.A.,61.603.387/0001-65,
WCSA Participacoes S.A.,24.527.809/0001-34,
Cephas Participacoes Societarias S.A.,15.642.909/0001-10,
Ebanx S.A.,13.236.697/0001-46,
Fraport Brasil S.A. Aeroporto de Porto Alegre,27.059.460/0001-41,
Empreendimentos Rodeiro S.A.,26.178.616/0001-40,
Baita Participacoes S.A.,27.634.391/0001-52,
Triplo Zero Participacoes S.A.,25.248.368/0001-02,
Sambaiba Transportes Urbanos Ltda.,01.751.967/0001-78,
4ALL Holding BR S.A.,27.717.069/0001-97,
WPX S.A. Investimentos e Participacoes,15.578.456/0001-00,
Tinhare Participacoes S.A.,10.534.967/0001-07,
Iclinic Participacoes S.A.,29.165.575/0001-46,
Santa Adria Empreendimentos e Participacoes S.A.,16.668.829/0001-05,
Portonave Participacoes S.A.,27.218.997/0001-07,
Lion Investimentos S.A.,26.421.417/0001-11,
UBS Consenso Participacoes S.A.,09.490.345/0001-45,
Resende e Albuquerque Participacoes S.A.,21.563.553/0001-22,
Barra Participacoes S.A.,21.577.527/0001-53,
TOP Service Servicos e Sistemas S.A.,00.973.749/0001-15,
Hotelaria Accorinvest Brasil S.A. ,02.419.765/0001-96,
CGG do Brasil Participacoes Ltda.,29.339.298/0001-40,
Samsung SDS Global SCL Latin America Logistica Ltda.,24.574.383/0001-70,
VIP Transportes Urbano Ltda.,08.107.792/0001-00,
Argus Empreendimentos e Participacoes Societarias S.A.,22.883.257/0001-71,
CBI Infraestrutura S.A.,26.694.706/0001-94,
Agromave Participacoes S.A.,26.127.751/0001-67,
Via Sul Transportes Urbanos Ltda.,04.828.667/0001-38,
Companhia Nilza Cordeiro Herdy de Educacao e Cultura,29.403.763/0001-65,
Cemed Care - Empresa de Atendimento Clinico Geral Ltda.,07.794.623/0001-22,
Viacao Campo Belo Ltda.,01.832.301/0001-44,
MMD Empreendimentos e Participacoes S.A.,03.270.797/0001-35,
Pronto Express Logistica S.A.,03.867.580/0001-07,
BMC Software do Brasil Ltda.,00.723.020/0001-90,
Caipe Participacoes e Empreendimentos Energeticos S.A.,05.307.716/0001-50,
Durban Participacoes S.A.,22.618.241/0001-31,
LFFU Participacoes S.A.,26.600.597/0001-07,
Tanapam Participacoes S.A.,10.927.444/0001-20,
Eolo Participacoes S.A.,21.436.172/0001-82,
Uniesp S.A.,19.347.410/0001-31,
FR18 Empreendimentos e Participacoes S.A.,22.499.977/0001-38,
Saber Servicos Educacionais S.A.,03.818.379/0001-30,
BL1963 Investimentos e Participacoes S.A.,24.907.109/0001-75,
Prosimulador Tecnologia de Transito S.A.,13.258.493/0001-06,
Alpha SRA Participacoes S.A.,26.687.917/0001-08,
Patis RJ Particicpacoes S.A.,20.630.038/0001-55,
Parecis Participacoes Societarias S.A.,19.967.570/0001-83,
Tech Mahindra Servicos de Informatica S.A.,09.302.110/0001-82,
Milano Comercio Varejista de Alimentos S.A.,11.950.487/0001-90,
Luar BR Participacoes Societarias S.A.,29.112.417/0001-28,
Socicam Administracao. Projetos e Representacoes Ltda.,43.217.280/0001-05,
Alianca Battistella Agro Pastoril e Administradora de Bens S.A.,44.062.743/0001-61,
UPI Norte Investimentos S.A.,13.871.554/0001-06,
Sociedade Beneficente de Senhoras - Hospital Sirio-Libanes,61.590.410/0001-24,
FS Security Servicos de Tecnologia S.A.,10.971.907/0001-51,
SPCC - Sao Paulo Contact Center Ltda.,57.349.680/0001-70,
Eudaimonia Participacoes S.A.,20.691.874/0001-40,
Grupo FQM Holding S.A.,27.059.432/0001-24,
SEB Sistema Educacional Brasileiro S.A.,56.012.628/0001-61,
F. Cayenne Administracao e Participacoes S.A.,24.303.347/0001-71,
Athena Healthcare Holding S.A.,26.753.292/0001-27,
Beltrame Administracoes e Participacoes S.A.,12.931.068/0001-73,
Caledonia Saude S.A.,25.249.439/0001-83,
Hospital Care S.A.,27.059.485/0001-45,
Saude do Brasil Holding S.A.,22.932.773/0001-49,
Clinicas do Brasil Holding S.A.,23.670.693/0001-25,
Cetelem America Ltda.,01.947.428/0001-09,
BGN Mercantil e Servicos Ltda.,02.860.160/0001-36,
Campo Largo Patrimonial S.A.,16.990.436/0001-05,
Iron Mountain do Brasil Ltda.,04.120.966/0001-13,
Makau Empreendimentos e Participacoes S.A.,13.550.823/0001-32,
Aegea Desenvolvimento S.A.,32.064.970/0001-47,
Milburn Participacoes S.A.,39.111.570/0001-94,
Vamos Locacao de Caminhoes. Maquinas e Equipamentos S.A.,23.373.000/0001-32,
Agility do Brasil Logistica Internacional S.A.,57.067.928/0001-00,
Nez Participacoes S.A.,82.982.661/0001-24,
Master Ipiranga Participacoes S.A.,17.115.548/0001-80,
Demercado Investimentos Ltda.,08.601.964/0001-05,
Sommer Administracao e Participacoes S.A.,30.911.238/0001-30,
Nova XP Controle America Participacoes Ltda.,29.444.128/0001-26,
AM/PM Comestiveis Ltda.,40.299.810/0001-05,
Prevent Senior Participacoes S.A.,09.285.822/0001-30,
Vertices Holding Financeira S.A.,29.154.195/0001-06,
Lancepar Participacoes e Empreendimentos S.A.,10.799.574/0001-25,
Odarata Empreendimentos e Participacoes S.A.,17.886.051/0001-65,
Pinbank Holding S.A.,25.260.321/0001-56,
SECID - Sociedade Educacional Cidade de Sao Paulo S.A.,43.395.177/0001-47,
Bazan Participacoes S.A.,26.436.977/0001-40,
Futurainvest Holding S.A.,17.314.944/0001-36,
Concessionaria das Linhas 5 e 17 do Metro de Sao Paulo S.A.,29.938.085/0001-35,
Halm Holding Participacoes Ltda.,11.490.146/0001-89,
Enesa Investimentos Infra-Estrutura Ltda.,11.196.721/0001-35,
Brazilian Food & Beverage Investimentos e Participacoes S.A.,28.298.533/0001-10,
Slot Urbanismo S.A.,31.910.308/0001-06,
Usinagem Edlyn Participacoes S.A.,26.643.756/0001-42,
Adtalem Brasil Holding S.A.,29.873.922/0001-95,
Novo Rumo Holding S.A.,30.578.525/0001-70,
Infopar Participacoes S.A.,30.890.965/0001-68,
C6 Holding Financeira S.A.,29.267.972/0001-29,
Servicos para o Comercio do Brasil S.A.,29.341.643/0001-80,
BIVI Holding S.A.,08.964.236/0001-50,
Mac Incorporadora Ltda.,31.687.451/0001-72,
Ancar Ivanhoe Barra S.A.,28.841.734/0001-12,
Sequoia Logistica e Transporte S.A.,01.599.101/0001-93,
Mori Energia Holding S.A.,29.183.782/0001-23,
Pucon Investimentos Imobiliarios S.A.,12.263.332/0001-48,
Sandvik Holding do Brasil Ltda.,30.467.131/0001-44,
O.P.F. Participacoes S.A.,09.255.444/0001-42,
CRpilon Participacoes S.A.,10.906.090/0001-38,
MLGpilon Participacoes S.A.,10.862.636/0001-04,
Pilon Souza Alves Participacoes S.A.,28.102.128/0001-85,
Montesanto Tavares Group Participacoes S.A.,29.243.666/0001-52,
Associacao de Ensino Social Profissionalizante,51.549.301/0001-00,
SACN Empreendimentos e Participacoes S.A.,32.128.095/0001-10,
Hospital Sao Rafael S.A.,27.372.066/0001-69,
Heres Participacoes S.A.,22.554.410/0001-17,
ENC Energy Nordeste Participacoes S.A.,30.534.672/0001-48,
Bosan Participacoes S.A.,32.091.564/0001-73,
Yeah Comunicacoes e Marketing Ltda.,20.730.915/0001-60,
Fadel Holding Ltda.,29.057.237/0001-90,
Rec Log 32 Empreendimentos e Participacoes Ltda.,13.068.040/0001-17,
Engelmig Eletrica Ltda.,21.066.139/0001-08,
Sall Participacoes S.A.,29.423.013/0001-55,
S.A. Leal Participacoes Societarias S.A.,19.972.135/0001-47,
S.A. Lina Participacoes Societarias S.A.,18.992.196/0001-03,
H1P Participacoes Societarias S.A.,18.991.887/0001-92,
China Communications Construction Company ( Brazil) Participacoes Ltda.,17.238.199/0001-93,
RCM Incorporacoes S.A.,21.009.367/0001-46,
Kalila Representacoes Comerciais Ltda.,42.583.484/0001-99,
Hitss do Brasil Servicos Tecnologicos Ltda.,11.168.199/0001-88,
Fastpar Holding S.A.,11.613.136/0001-93,
Litucera Limpeza e Engenharia Ltda.,62.011.788/0001-99,
CTC - Centro de Tecnologia Canavieira S.A.,06.981.381/0002-02,
Cathais Holding S.A.,27.541.296/0001-04,
Husqvarna do Brasil Industria e Comercio de Produtos para Floresta e Jardim Ltda.,04.098.470/0001-90,
Guaimbe Solar Holding S.A.,30.757.186/0001-99,
PPAR Pinheiro Participacoes S.A.,24.331.975/0001-60,
BRZ Empreendimentos e Construcoes Ltda.,04.065.053/0001-41,
America Net Ltda.,01.778.972/0001-74,
Unimed de Sorocaba Cooperativa de Trabalho Medico,45.399.961/0001-59,
Unimed Juiz de Fora Cooperativa de Trabalho Medico Ltda.,17.689.407/0001-70,
Unimed Uberlandia Cooperativa Regional de Trabalho Medico Ltda.,17.790.718/0001-21,
Unimed Maceio Cooperativa de Trabalho Medico,12.442.737/0001-43,
Unimed Belem - Cooperativa de Trabalho Medico,04.201.372/0001-37,
Unimed Grande Florianopolis - Cooperativa de Trabalho Medico,77.858.611/0001-08,
Unimed Natal - Sociedade Cooperativa de Trabalho Medico,08.380.701/0001-05,
Unimed de Londrina Cooperativa de Trabalho Medico,75.222.224/0001-47,
Unimed Regional Maringa - Cooperativa de Trabalho Medico,76.767.219/0001-82,
Unimed Campo Grande MS Cooperativa de Trabalho Medico,03.315.918/0001-18,
Unimed Sergipe Cooperativa de Trabalho Medico,13.360.276/0001-22,
Companhia Brasileira de Distribuicao,47.508.411/0001-56,
Companhia Brasileira de Distribuicao,47.508.411/0001-56,
Servopa S.A. Comercio e Industria,76.564.624/0001-01,
Guanabara Diesel S.A. Comercio e Representacoes,33.498.049/0001-75,
Pagan S.A. Distribuidora de Tratores e Veiculos,43.745.330/0001-19,
Apec Veiculos S.A.,17.078.536/0001-22,
Distribuidora Meridional de Motores Cummins S.A.,90.627.332/0001-93,
Ricoh Brasil S.A.,33.597.659/0001-26,
Comercio e Industria Schadeck S.A.,85.378.503/0001-58,
Pampeiro S.A. Comercio de Automoveis,95.594.164/0001-09,
Odebrecht Servicos de Exportacao S.A.,09.358.355/0001-21,
Sudeste Automoveis S.A.,00.429.160/0001-50,
Rodobens Maquinas Agricolas S.A.,14.937.288/0001-30,
Diaco Distribuidora de Aco S.A.,28.168.102/0001-30,
Industria e Comercio Quimetal S.A.,27.240.464/0001-21,
Dievo Distribuicao e Comercio S.A.,08.112.650/0001-30,
Magparana S.A.,80.220.791/0001-02,
Tramontina Norte S.A.,14.098.057/0001-80,
J.A. Spohr S.A. Veiculos,91.158.253/0001-43,
Savepe S.A. Veiculos e Pecas,82.568.635/0001-54,
CN Auto S.A.,03.786.695/0001-77,
Marca Cafe Comercio Exportacao S.A.,32.483.711/0001-50,
Cimma - Comercio de Implementos Motores e Maquinas Agricolas S.A.,92.197.540/0001-25,
Spengler S.A.,95.425.542/0001-12,
Graciano R. Affonso S.A. Veiculos,43.952.001/0001-49,
Centrais de Abastecimento de Campinas S.A.- Ceasa,44.608.776/0001-64,
Cotia Comercial Exportadora e Importadora S.A.,02.176.290/0001-54,
Florenca Caminhoes S.A.,09.091.832/0001-35,
Ferro e Aco Takono S.A.,17.431.354/0001-93,
Catavento Distribuidora de Livros S.A.,61.539.813/0001-49,
Mitsubishi Corporation do Brasil S.A.,61.090.619/0001-29,
Auto Agricola Passo Fundo S.A. Industria e Comercio,92.012.764/0001-15,
Motomecanica Comercial S.A.,91.157.826/0001-14,
SG Comercio Exterior S.A.,16.766.164/0001-64,
CYA Rubber S.A.,04.435.399/0001-94,
Prema Tecnologia e Comercio S.A.,96.221.767/0001-10,
Iguacu Diesel e Pneus S.A. ,76.333.467/0001-15,
Brasilmad Exportadora S.A.,01.968.283/0001-22,
Motormac Distribuidora de Maquinas e Motores S.A.,87.933.701/0001-61,
MC Kinlay S.A.,33.179.714/0001-68,
Exito Importadora e Exportadora S.A.,07.391.673/0001-69,
Lusitana Empreendimentos S.A.,06.262.067/0001-80,
Eurostar do Brasil S.A.,03.902.443/0001-66,
ABC Distribuidora S.A.,07.228.042/0001-23,
Excelsior S.A. Pneus e Acessorios,92.693.282/0001-78,
Ceasa-PE/O.S - Centro de Abastecimento e Logistica de Pernambuco,06.035.073/0001-03,
L'Occitane do Brasil S.A.,03.276.090/0001-36,
Guara Auto Pecas S.A.,77.882.579/0001-98,
Passopar S.A.,02.771.893/0001-02,
Dimasa S.A.,77.884.393/0001-78,
Pensalab Equipamentos Industriais S.A.,01.382.559/0001-96,
Itautec Locacao e Comercio de Equipamentos S.A. - Grupo Itautec,62.209.820/0001-45,
Taisa S.A.,77.013.647/0001-82,
Mitsui & Co. (Brasil) S.A.,61.139.697/0001-70,
Dismafe Distribuidora de Maquinas e Ferramentas S.A.,37.460.888/0001-55,
Cafenorte S.A. Importadora e Exportadora,27.477.496/0001-45,
PMZ Centro Norte S.A.,33.657.677/0001-56,
Multitrade S.A.,15.144.298/0001-80,
Justesa Imagem do Brasil S.A.,73.382.103/0001-37,
Maxivendas S.A.,27.887.017/0001-69,
Importadora Bage S.A.,92.785.047/0001-26,
Somaco S.A. Comercio de Automoveis,79.109.203/0001-70,
Emel Materiais Eletricos S.A.,04.523.811/0001-28,
Comercial Oeste S.A.,77.882.587/0001-34,
Tramontina Planalto S.A.,00.142.240/0001-20,
Centrais de Abastecimento de Minas Gerais S.A. - Ceasaminas,17.504.325/0001-04,
Guara Motor S.A.,48.547.848/0001-61,
Nicsa S.A. Industria e Comercio de Valvulas,01.081.567/0001-00,
Tres Rios Automoveis S.A.,32.286.320/0001-46,
Eurokraft Veiculos S.A.,07.296.616/0001-09,
Delore S.A. Comercio de Automoveis,72.550.106/0001-70,
Comercial Sul Parana S.A. Agropecuaria,76.106.301/0001-66,
Marubeni Brasil S.A.,60.884.756/0001-72,
Dinaco Importacao Comercio S.A.,33.424.730/0001-79,
3Corp Technology S.A. Infraestrutura de Telecon,04.238.297/0001-89,
Brandao Filhos S.A. Comercio. Industria e Lavoura,15.108.483/0001-10,
Forcecar Auto Pecas S.A.,05.772.675/0001-72,
Distribuidora Titanium Importadora e Exportadora de Auto Pecas S.A.,04.975.974/0001-41,
Companhia Nacional do Aco Industria e Comercio,92.975.622/0001-53,
Sumitomo Corporation do Brasil S.A.,60.492.212/0001-65,
Costaneira - Arno Johann S.A. Comercio de Materiais de Construcao,91.155.267/0001-03,
Krahenbuhl S.A. Comercio e Importacao,54.364.138/0001-07,
Sendas Comercio Exterior e Armazens Gerais S.A.,02.452.569/0001-13,
Technico Comercial de Equipamentos S.A.,13.330.634/0001-54,
Auto Mecanica Ibiruba S.A.,90.657.198/0001-73,
Casa Nunes Martins S.A. Importadora e Exportadora,33.113.077/0001-27,
Biocore Comercio e Representacoes de Produtos Hospitalares e Laboratoriais S.A.,08.647.266/0001-32,
Wilvale de Rigo S.A.,67.586.925/0001-37,
Thork Trading S.A.,04.363.350/0001-73,
Irsa Rolamentos S.A.,57.496.580/0001-77,
Rodomac Tratores Pecas e Implementos S.A.,91.359.927/0001-78,
Comexport Companhia de Comercio Exterior,43.633.296/0001-90,
Rodobens Comercio Internacional S.A.,07.865.882/0001-05,
Distal - Distribuidora America Latina S.A.,38.046.843/0001-00,
Novafrota Equipamentos S.A.,03.509.150/0001-13,
Welser Itage Participacoes e Comercio S.A.,31.138.225/0001-32,
Itochu Brasil S.A.,61.274.155/0001-00,
Intermoinhos Nordeste S.A. Interpastil,22.689.046/0001-00,
Comercio de Automoveis Rio do Sul S.A.,85.776.003/0001-74,
CP Eletronica S.A.,88.330.592/0001-50,
Rodobens Veiculos Comerciais Cirasa S.A.,59.970.624/0001-84,
Eugenio Raulino Koerich S.A. - Comercio e Industria,86.184.074/0001-40,
Eurovia Veiculos S.A.,02.671.595/0001-32,
Brasdiesel S.A. - Comercial e Importadora,88.616.511/0001-83,
Govesa Goiania Veiculos S.A.,01.256.007/0001-31,
Distribuidora Cummins Minas Ltda.,19.859.784/0001-36,
Companhia Beal de Alimentos,78.116.670/0001-65,
Ceara Diesel S.A.,63.388.441/0001-22,
BCR Comercio e Industria S.A.,23.797.376/0001-74,
Balaroti Comercio de Materiais de Construcao S.A.,77.044.618/0001-88,
Voestalpine Meincol S.A.,88.614.342/0001-42,
Suecia Veiculos S.A.,02.714.977/0001-04,
Distribuidora de Alimentos Fartura S.A.,03.720.882/0001-58,
SOCIC - Sociedade Comercial Irmas Claudino S.A.,04.049.497/0001-93,
Cerbel Barretos Distribuidora de Bebidas S.A.,69.134.682/0001-21,
Cisa Comercio e Servicos S.A.,02.808.642/0001-47,
Grazziotin S.A.,92.012.467/0001-70,
Grazziotin S.A.,92.012.467/0001-70,
Lemar S.A. Comercio e Servicos de Automoveis,60.794.013/0001-01,
Cresauto Veiculos S.A.,14.552.558/0001-94,
RDG Acos do Brasil S.A.,27.487.693/0001-45,
Target Trading S.A.,02.013.667/0001-54,
Manzoli S.A. Comercio e Industria,92.696.517/0001-85,
Betim Veiculos S.A.,19.878.867/0001-72,
Tumelero Materiais de Construcao S.A.,10.280.765/0001-86,
Importadora e Exportadora de Cereais S.A.,91.156.471/0001-49,
Magazine Liliani S.A.,11.590.296/0001-64,
Comercio e Industria Breithaupt S.A.,84.429.810/0001-58,
Lavoura Industria Comercio Oeste S.A.,79.851.192/0001-08,
Comercial Motociclo S.A.,01.407.607/0001-53,
Somov S.A.,04.925.387/0001-48,
TCI Trading S.A.,06.322.081/0001-22,
South Service Trading S.A.,93.101.632/0001-22,
Scherer S.A. Comercio de Autopecas,84.586.205/0001-90,
Linck Maquinas S.A. ,92.747.492/0001-00,
Rodobens Veiculos Comerciais SP S.A.,60.812.088/0001-78,
Simpala Veiculos S.A.,92.756.402/0001-39,
Irmaos Silva S.A.,21.012.190/0001-37,
Dias Pastorinho S.A. Comercio e Industria,61.192.795/0001-71,
Moto Agricola Slaviero S.A.,00.003.228/0001-35,
Damovo do Brasil S.A.,56.795.362/0001-70,
Bamaq S.A. Bandeirantes Maquinas e Equipamentos,18.209.965/0001-54,
Montecitrus Trading S.A.,54.098.926/0001-90,
BRS Suprimentos Corporativos S.A.,09.216.620/0001-37,
